p,algo,modelo_desc,tasa_pesada
3,kvmc,adulto ~ long.altura + peso.desenvainado + peso.caparazon,0.748623413933445
3,kvmc,adulto ~ long.altura + peso.desenvainado + peso.viscera,0.7366531003112281
3,kvmc,adulto ~ long.altura + peso.total + peso.caparazon,0.7361742877663395
3,kvmc,adulto ~ long.altura + peso.total + peso.desenvainado,0.7455111323916687
3,kvmc,adulto ~ long.altura + peso.total + peso.viscera,0.7354560689490065
3,kvmc,adulto ~ long.altura + peso.viscera + peso.caparazon,0.7385683504907828
3,kvmc,adulto ~ long.diametro + long.altura + peso.caparazon,0.7385683504907828
3,kvmc,adulto ~ long.diametro + long.altura + peso.desenvainado,0.729470912137898
3,kvmc,adulto ~ long.diametro + long.altura + peso.total,0.74503231984678
3,kvmc,adulto ~ long.diametro + long.altura + peso.viscera,0.7297103184103424
3,kvmc,adulto ~ long.diametro + peso.desenvainado + peso.caparazon,0.7529327268374432
3,kvmc,adulto ~ long.diametro + peso.desenvainado + peso.viscera,0.729470912137898
3,kvmc,adulto ~ long.diametro + peso.total + peso.caparazon,0.7467081637538904
3,kvmc,adulto ~ long.diametro + peso.total + peso.desenvainado,0.7570026334689969
3,kvmc,adulto ~ long.diametro + peso.total + peso.viscera,0.7438352884845583
3,kvmc,adulto ~ long.diametro + peso.viscera + peso.caparazon,0.7455111323916687
3,kvmc,adulto ~ long.largo + long.altura + peso.caparazon,0.7517356954752215
3,kvmc,adulto ~ long.largo + long.altura + peso.desenvainado,0.7242039741441226
3,kvmc,adulto ~ long.largo + long.altura + peso.total,0.7538903519272205
3,kvmc,adulto ~ long.largo + long.altura + peso.viscera,0.7428776633947809
3,kvmc,adulto ~ long.largo + long.diametro + long.altura,0.7344984438592291
3,kvmc,adulto ~ long.largo + long.diametro + peso.caparazon,0.7435958822121139
3,kvmc,adulto ~ long.largo + long.diametro + peso.desenvainado,0.7227675365094566
3,kvmc,adulto ~ long.largo + long.diametro + peso.total,0.7419200383050036
3,kvmc,adulto ~ long.largo + long.diametro + peso.viscera,0.7419200383050036
3,kvmc,adulto ~ long.largo + peso.desenvainado + peso.caparazon,0.7534115393823319
3,kvmc,adulto ~ long.largo + peso.desenvainado + peso.viscera,0.7459899449365573
3,kvmc,adulto ~ long.largo + peso.total + peso.caparazon,0.7617907589178836
3,kvmc,adulto ~ long.largo + peso.total + peso.desenvainado,0.7550873832894421
3,kvmc,adulto ~ long.largo + peso.total + peso.viscera,0.7531721331098875
3,kvmc,adulto ~ long.largo + peso.viscera + peso.caparazon,0.7593966961934403
3,kvmc,adulto ~ peso.desenvainado + peso.viscera + peso.caparazon,0.7435958822121139
3,kvmc,adulto ~ peso.total + peso.desenvainado + peso.caparazon,0.744314101029447
3,kvmc,adulto ~ peso.total + peso.desenvainado + peso.viscera,0.7388077567632272
3,kvmc,adulto ~ peso.total + peso.viscera + peso.caparazon,0.7318649748623414
3,qda,adulto ~ anillos + long.altura + peso.caparazon,0.7900406990663156
3,qda,adulto ~ anillos + long.altura + peso.desenvainado,0.799616949964089
3,qda,adulto ~ anillos + long.altura + peso.total,0.8020110126885325
3,qda,adulto ~ anillos + long.altura + peso.viscera,0.7993775436916447
3,qda,adulto ~ anillos + long.diametro + long.altura,0.8003351687814221
3,qda,adulto ~ anillos + long.diametro + peso.caparazon,0.8005745750538664
3,qda,adulto ~ anillos + long.diametro + peso.desenvainado,0.8027292315058655
3,qda,adulto ~ anillos + long.diametro + peso.total,0.8101508259516399
3,qda,adulto ~ anillos + long.diametro + peso.viscera,0.8034474503231984
3,qda,adulto ~ anillos + long.largo + long.altura,0.7972228872396456
3,qda,adulto ~ anillos + long.largo + long.diametro,0.8053627005027532
3,qda,adulto ~ anillos + long.largo + peso.caparazon,0.798180512329423
3,qda,adulto ~ anillos + long.largo + peso.desenvainado,0.8029686377783098
3,qda,adulto ~ anillos + long.largo + peso.total,0.812305482403639
3,qda,adulto ~ anillos + long.largo + peso.viscera,0.8041656691405314
3,qda,adulto ~ anillos + peso.desenvainado + peso.caparazon,0.7948288245152023
3,qda,adulto ~ anillos + peso.desenvainado + peso.viscera,0.7991381374192004
3,qda,adulto ~ anillos + peso.total + peso.caparazon,0.8032080440507541
3,qda,adulto ~ anillos + peso.total + peso.desenvainado,0.7998563562365334
3,qda,adulto ~ anillos + peso.total + peso.viscera,0.7991381374192004
3,qda,adulto ~ anillos + peso.viscera + peso.caparazon,0.79746229351209
3,qda,adulto ~ long.altura + peso.desenvainado + peso.caparazon,0.7749581039023222
3,qda,adulto ~ long.altura + peso.desenvainado + peso.viscera,0.7854919798898731
3,qda,adulto ~ long.altura + peso.total + peso.caparazon,0.7778309791716543
